model,seed,horizon,R2,RMSE
cnn_gru__film+dynablate,3,60,0.4734193635037973,41.02342832513774
cnn_gru__film+dynablate,4,60,0.5212479238673595,39.1160366264322
cnn_gru__film+nodyn,0,60,0.4832551702664438,40.6384915356214
cnn_gru__film+nodyn,1,60,0.5229804671938345,39.04519447684622
cnn_gru__film+nodyn,2,60,0.489068034479629,40.409273835387616
cnn_gru__film+nodyn,3,60,0.47122601857172586,41.108776153213334
cnn_gru__film+nodyn,4,60,0.5378928977548387,38.43003948022782
cnn_gru__film+retrieval,0,60,0.5309716537069058,38.7167642702152
cnn_gru__film+retrieval,1,60,0.4919315638773174,40.295877398557565
cnn_gru__film+retrieval,2,60,0.4517780525282352,41.85792716722453
cnn_gru__film+retrieval,3,60,0.4827689516558079,40.657605945633605
cnn_gru__film+retrieval,4,60,0.5164685122394366,39.310800656388025
cnn_gru__film+ssl,0,60,0.4297835924256721,42.68933246593953
cnn_gru__film+ssl,1,60,0.5220347833690571,39.083878559902296
cnn_gru__film+ssl,2,60,0.4444833398075151,42.13549041379674
cnn_gru__film+ssl,3,60,0.453963034895529,41.77442983152865
cnn_gru__film+ssl,4,60,0.5462368822923238,38.081505168710045
cnn_gru__film+ssl+retrieval,0,60,0.46273089037913884,41.43768118332608
cnn_gru__film+ssl+retrieval,1,60,0.5207896948481465,39.13475175803112
cnn_gru__film+ssl+retrieval,2,60,0.43627754025574006,42.445551234705306
cnn_gru__film+ssl+retrieval,3,60,0.4729472038183338,41.041816077807866
cnn_gru__film+ssl+retrieval,4,60,0.536454673537005,38.48979627119256
cnn_gru__gate,0,60,0.5305480060170118,38.73424569295486
cnn_gru__gate,1,60,0.5186590671323943,39.22165422040252
cnn_gru__gate,2,60,0.5077573642410665,39.66332538072273
cnn_gru__gate,3,60,0.49245692365123606,40.275038366898904
cnn_gru__gate,4,60,0.5096088518202957,39.588661654389064
cnn_gru__xattn,0,60,0.5270790738703819,38.87709220906167
cnn_gru__xattn,1,60,0.5051659886689122,39.7675906831363
cnn_gru__xattn,2,60,0.5210699436680001,39.12330681222305
cnn_gru__xattn,3,60,0.3868919447686556,44.26576967847158
cnn_gru__xattn,4,60,0.5322231561816155,38.66507603829936
dl_current,0,60,0.5602190204722444,37.49019765226822
dl_current,1,60,0.5657348807366727,37.254349347346604
dl_current,2,60,0.4838753795185845,40.61409657871714
dl_current,3,60,0.5235373048671687,39.02239857184201
dl_current,4,60,0.5869660643810075,36.332256930406004
gru__concat,0,60,0.5530144304609983,37.79603654674469
gru__concat,1,60,0.5528981069761676,37.80095424541349
gru__concat,2,60,0.509564203039898,39.59046383335924
gru__concat,3,60,0.44608164483272916,42.07483167806765
gru__concat,4,60,0.5544682274804587,37.734521678580855
persistence_5min,0,60,-0.023596099031794715,57.195758006007146
persistence_5min,1,60,-0.023596099031794715,57.195758006007146
persistence_5min,2,60,-0.023596099031794715,57.195758006007146
persistence_5min,3,60,-0.023596099031794715,57.195758006007146
persistence_5min,4,60,-0.023596099031794715,57.19575800600715
rf_highres,0,60,0.5129353006647794,39.454163162594725
rf_highres,1,60,0.5126692574524115,39.46493696674263
rf_highres,2,60,0.3889471681791832,44.19151489214752
rf_highres,3,60,0.47134005288734404,41.10434319689609
rf_highres,4,60,0.4918587284469954,40.29876565354644
tcn__concat,0,60,0.5128413745567129,39.457967171958025
tcn__concat,1,60,0.5119869586727863,39.49255420660788
tcn__concat,2,60,0.4534612394011366,41.793620296891575
tcn__concat,3,60,0.5017715720180874,39.903754593995984
tcn__concat,4,60,0.5099934859451921,39.573133093891244
bilstm__concat,0,120,0.43662697475208767,42.087931937349325
bilstm__concat,1,120,0.44491649820112456,41.77714156512313
bilstm__concat,2,120,0.4676368053245994,40.91321172575751
bilstm__concat,3,120,0.43357951729645594,42.20161167773687
bilstm__concat,4,120,0.4907957802470517,40.01340953141712
cnn__concat,0,120,0.4295011131777453,42.353271550314474
cnn__concat,1,120,0.47938308912236904,40.45933101474274
cnn__concat,2,120,0.4528351059441946,41.47808285308706
cnn__concat,3,120,0.4240478502059335,42.55521253889626
cnn__concat,4,120,0.46573283057170833,40.98630862440416
cnn_gru__concat,0,120,0.3772669557635686,44.2497190662605
cnn_gru__concat,1,120,0.45477476355977864,41.40449927070134
cnn_gru__concat,2,120,0.4324354434327421,42.244210247825485
cnn_gru__concat,3,120,0.4152888925500916,42.877576857009835
cnn_gru__concat,4,120,0.46307877276802845,41.08798553571369
cnn_gru__film,0,120,0.4595684703474119,41.2220799570388
cnn_gru__film,1,120,0.47980513823369864,40.44292808346448
cnn_gru__film,2,120,0.45053420178624204,41.56520190365922
cnn_gru__film,3,120,0.3959203531773343,43.58195056622638
cnn_gru__film,4,120,0.4642949654221843,41.04142448233763
cnn_gru__film+dynablate,0,120,0.4624694597529002,41.111292814679466
cnn_gru__film+dynablate,1,120,0.48141418553971593,40.380331363646455
cnn_gru__film+dynablate,2,120,0.4589701087320973,41.24489402815859
cnn_gru__film+dynablate,3,120,0.40542693778520267,43.237659454392876
cnn_gru__film+dynablate,4,120,0.45748033716975445,41.30164064282626
cnn_gru__film+nodyn,0,120,0.41300364749663454,42.96128504689948
cnn_gru__film+nodyn,1,120,0.4989284862162847,39.692588232714336
cnn_gru__film+nodyn,2,120,0.481349038438197,40.382867664158006
cnn_gru__film+nodyn,3,120,0.436031659042987,42.11016320363246
cnn_gru__film+nodyn,4,120,0.4978733075901588,39.734359460078174
cnn_gru__film+retrieval,0,120,0.456887089983559,41.324216218566754
cnn_gru__film+retrieval,1,120,0.46634172474189484,40.962946306424875
cnn_gru__film+retrieval,2,120,0.45181934050427164,41.51656528136039
cnn_gru__film+retrieval,3,120,0.4010562175204664,43.39628898074753
cnn_gru__film+retrieval,4,120,0.45579414152628084,41.365775292180494
cnn_gru__film+ssl,0,120,0.33217437118922666,45.823800226948904
cnn_gru__film+ssl,1,120,0.47971449414253364,40.4464515253965
cnn_gru__film+ssl,2,120,0.46118807470084866,41.160264951828545
cnn_gru__film+ssl,3,120,0.4138712944036912,42.92952248962548
cnn_gru__film+ssl,4,120,0.46685992928599374,40.94305310742
cnn_gru__film+ssl+retrieval,0,120,0.3811614452680102,44.11113613236943
cnn_gru__film+ssl+retrieval,1,120,0.46638980356467463,40.96110102950546
cnn_gru__film+ssl+retrieval,2,120,0.4646149193871677,41.02916649806251
cnn_gru__film+ssl+retrieval,3,120,0.4209234664666871,42.670481650406856
cnn_gru__film+ssl+retrieval,4,120,0.4626903816741763,41.10284369550539
cnn_gru__gate,0,120,0.4599641839761206,41.206985421421265
cnn_gru__gate,1,120,0.45975795982787504,41.21485255180362
cnn_gru__gate,2,120,0.47684464122773473,40.55784780671221
cnn_gru__gate,3,120,0.3916080139619501,43.737233015826014
cnn_gru__gate,4,120,0.478198442839569,40.50533678241341
cnn_gru__xattn,0,120,0.45045780233108046,41.568091481511196
cnn_gru__xattn,1,120,0.43378822765215486,42.19383589528264
cnn_gru__xattn,2,120,0.49089500107383,40.009510941379965
cnn_gru__xattn,3,120,0.31963305798056396,46.25206890341942
cnn_gru__xattn,4,120,0.47519000467735484,40.621935383466706
dl_current,0,120,0.44274932118296706,41.85861602977647
dl_current,1,120,0.47487151729529464,40.634259473836366
dl_current,2,120,0.45249667663120585,41.49090826396824
dl_current,3,120,0.43970045944641434,41.97296945410203
dl_current,4,120,0.49579571969174274,39.816476593945964
gru__concat,0,120,0.4571161159526195,41.31550226935278
gru__concat,1,120,0.45987205101184525,41.21050033625675
gru__concat,2,120,0.45446944742510587,41.41609052838649
gru__concat,3,120,0.37457241696206833,44.34534903629283
gru__concat,4,120,0.45108362078146413,41.5444158755863
persistence_5min,0,120,-0.08382131714056573,58.37654750130196
persistence_5min,1,120,-0.08382131714056573,58.376547501301964
persistence_5min,2,120,-0.08382131714056573,58.376547501301964
persistence_5min,3,120,-0.08382131714056573,58.376547501301964
persistence_5min,4,120,-0.08382131714056573,58.37654750130196
rf_highres,0,120,0.3984489058023044,43.4906423952777
rf_highres,1,120,0.3959057305178043,43.582478046478016
rf_highres,2,120,0.2903057204661147,47.2384038158381
rf_highres,3,120,0.31319810072064347,46.470281771586244
rf_highres,4,120,0.4053761315083112,43.239506744248416
tcn__concat,0,120,0.40908944970575567,43.10428386492796
tcn__concat,1,120,0.46444005457383497,41.03586632223275
tcn__concat,2,120,0.36241469005114957,44.774290556473105
tcn__concat,3,120,0.3911352707304051,43.754222445593335
tcn__concat,4,120,0.4218748295098479,42.63541564096453
