family,increment,with,without,seed_pos_frac,dR2_60,R2_lo,R2_hi,dRMSE_60,RMSE_lo,RMSE_hi,perm_p,half_proj,half_floor,seed_share,equiv_attainable,seeds_needed_for_equiv,holm_p,verdict,verdict_shared_rule,half_obs
primary,cnn_gru__concat: w10_1min vs full 60-min window,cnn_gru__concat@w10_1min,cnn_gru__concat@w60,0.6,0.013129346000606352,0.001927040792674091,0.026715844279330332,-0.5347720934433667,-1.015035125164551,-0.07237273402087177,0.029097090290970903,0.012082728224293422,0.0,1.141042651164175,True,47.0,0.1745825417458254,INCONCLUSIVE,INCONCLUSIVE,0.01239440174332812
primary,sa__concat: w10_1min vs full 60-min window,sa__concat@w10_1min,sa__concat@w60,0.4666666666666667,0.002570797113529571,-0.010025581601699297,0.012047670732908505,-0.08853078255994641,-0.5240495754978732,0.3376859238311938,0.666033396660334,0.013138488378951494,0.0,1.3996279971306187,True,9.0,1.0,NEGLIGIBLE,NEGLIGIBLE,0.0110366261673039
primary,dl_current: w10_1min vs full 60-min window,dl_current@w10_1min,dl_current@w60,0.5333333333333333,-0.0019911016198721275,-0.01513083981498246,0.011111291786600615,0.06652444830720725,-0.4816948599987655,0.5728360081731549,0.7629237076292371,0.01512157177176565,0.0,1.4099887640244004,True,11.0,1.0,NEGLIGIBLE,NEGLIGIBLE,0.013121065800791538
primary,cnn_gru__concat: w10_5min vs full 60-min window,cnn_gru__concat@w10_5min,cnn_gru__concat@w60,0.6666666666666666,0.00983178460427938,-0.008252742982025081,0.02730862357590831,-0.4010738924487152,-1.1074977915516124,0.3157405794191907,0.2846715328467153,0.017667602180598548,0.011562005389924766,0.5717364511341013,False,,1.0,INCONCLUSIVE,INCONCLUSIVE,0.017780683278966695
primary,sa__concat: w10_5min vs full 60-min window,sa__concat@w10_5min,sa__concat@w60,0.6666666666666666,0.007404810533680529,-0.004149198041783293,0.020214416898186524,-0.3074582332930144,-0.7614864221661289,0.1756169113595719,0.21207879212078792,0.011476074468615417,0.0,1.0132985808186423,True,13.0,1.0,INCONCLUSIVE,INCONCLUSIVE,0.012181807469984908
primary,dl_current: w10_5min vs full 60-min window,dl_current@w10_5min,dl_current@w60,0.4,-0.0016726661764497118,-0.015725245500864897,0.01015632565861049,0.06807118470455056,-0.4832001724340772,0.5518310790287715,0.8226177382261773,0.012688292374530369,0.0023892937579781683,0.9645404890132651,True,8.0,1.0,NEGLIGIBLE,NEGLIGIBLE,0.012940785579737693
secondary,cnn_gru__concat: last 5 min vs full window,cnn_gru__concat@w5_1min,cnn_gru__concat@w60,0.9333333333333333,0.026867331098651876,0.012488665187476856,0.044819574801925485,-1.1023784214991035,-1.7150863261444802,-0.48727626156389225,0.0011998800119988001,0.015365634953886978,0.010994924774107418,0.4879840358911956,False,,0.008399160083991601,ADDS(small),ADDS(small),0.016165454807224314
secondary,sa__concat: last 5 min vs full window,sa__concat@w5_1min,sa__concat@w60,0.3333333333333333,0.00032694645650815023,-0.011089189199096964,0.012969724861094331,-0.016739593725207176,-0.5123073773269923,0.4561127399855585,0.957004299570043,0.012393453755193117,0.0,1.1064415472861884,True,6.0,1.0,NEGLIGIBLE,NEGLIGIBLE,0.012029457030095649
secondary,dl_current: last 5 min vs full window,dl_current@w5_1min,dl_current@w60,0.4666666666666667,-0.01323188437187795,-0.029726000672401824,0.0077069475130456455,0.5094501028751783,-0.25111625327542353,1.3038064165193521,0.2528747125287471,0.021182285286492013,0.011253388518529464,0.7177584164309856,False,,1.0,INCONCLUSIVE,INCONCLUSIVE,0.018716474092723735
secondary,cnn_gru__concat: 1-min vs 5-min sampling of the same 10 min,cnn_gru__concat@w10_1min,cnn_gru__concat@w10_5min,0.5333333333333333,0.0032975613963269726,-0.010649088833098244,0.01871232451951894,-0.1336982009946515,-0.6870121894123834,0.4450869019119226,0.6444355564443556,0.013945712846131149,0.006479958939665973,0.784094815562381,True,10.0,1.0,NEGLIGIBLE,NEGLIGIBLE,0.014680706676308592
secondary,sa__concat: 1-min vs 5-min sampling of the same 10 min,sa__concat@w10_1min,sa__concat@w10_5min,0.4,-0.004834013420150956,-0.020302585512969804,0.006866322211761502,0.218927450733068,-0.2774687196384602,0.6936582999609445,0.47035296470352966,0.012647831417899717,0.0022245521663452764,0.9690647911420084,True,11.0,1.0,INCONCLUSIVE,INCONCLUSIVE,0.013584453862365653
secondary,dl_current: 1-min vs 5-min sampling of the same 10 min,dl_current@w10_1min,dl_current@w10_5min,0.6,-0.0003184354434224177,-0.0100471003341465,0.013715334603128652,-0.0015467363973433142,-0.4793249180570419,0.41676565260499404,0.9592040795920408,0.013660567269837024,0.0,1.434179937624673,True,8.0,1.0,NEGLIGIBLE,NEGLIGIBLE,0.011881217468637576
secondary,RF: does the non-DL model agree?,rf_highres@w10_1min,rf_highres@w60,0.8666666666666667,0.01938550443108654,0.005695005117089261,0.032958650307233765,-0.7820105750250439,-1.3753899174722115,-0.2139284146041055,0.015498450154984501,0.01554090921207583,0.014573328627952414,0.12064412402227802,False,,0.09299070092990701,INCONCLUSIVE,INCONCLUSIVE,0.013631822595072252
secondary,sanity: DL beats the persistence floor,cnn_gru__concat@w60,persistence_5min,1.0,0.5424162638552579,0.39241485906449874,0.7118474972445182,-18.003556997679265,-23.62069140417321,-12.048464226342007,9.999000099990002e-05,0.2375747250108751,0.2372746299826511,0.0025247255919568583,False,,0.0007999200079992001,ADDS,ADDS,0.15971631909000975
