horizon,model,comparison,dR2,lo,hi,dRMSE_mgdl,dRMSE_lo,dRMSE_hi,perm_p
30,cgm_static,global - premeal_center,0.3473374167861021,0.2908586718194971,0.4378851911169027,-10.596591831610782,-13.14966375813015,-7.961951411709849,9.999000099990002e-05
30,cgm,global - premeal_center,0.5751187882429584,0.49307557855830214,0.6476133172207285,-15.289883341962867,-19.433564949374823,-11.020197269485315,9.999000099990002e-05
60,cgm_static,global - premeal_center,0.18052555826832492,0.14364179942109093,0.22944314062008392,-6.871185252928542,-9.155131685490648,-4.691258016258667,9.999000099990002e-05
60,cgm,global - premeal_center,0.40532133812028176,0.2929430808769038,0.4995014782020828,-12.692210626022984,-17.409898576429352,-7.817579354399722,9.999000099990002e-05
120,cgm_static,global - premeal_center,0.10354264427357085,0.06574527993708744,0.1453062707161444,-3.7554724837541174,-5.391221205129062,-2.1010621352250913,0.00029997000299970003
120,cgm,global - premeal_center,0.28530079396310554,0.16190154067851786,0.38731051806597394,-8.558578905053349,-12.766876727552862,-4.128786458435248,0.0016998300169983002
