arm,model,horizon,R2,R2_sd,RMSE,RMSE_sd
global,cgm,30,0.5486996772326744,0.03968612561957712,30.018600824393733,1.296244439567752
global,cgm,60,0.37363503974197876,0.03606795491319166,44.72484858303672,1.273884629286284
global,cgm,120,0.2618310119188587,0.03130119291682456,48.16688799417351,1.0087414012266211
global,cgm_static,30,0.62504938399572,0.015530916685258822,27.38009089673916,0.568484287377642
global,cgm_static,60,0.5421057332607541,0.025327299875001978,38.240657128246845,1.0637341205347544
global,cgm_static,120,0.46350357648216084,0.03248674653680484,41.05422928603936,1.2408742807471338
global,persistence_5min,30,0.4055835811542164,5.745950043620392e-17,34.48105934032635,7.354816055834102e-15
global,persistence_5min,60,-0.023596100665156414,7.814786920988808e-17,57.19575805164106,7.354816055834102e-15
global,persistence_5min,120,-0.08382131977725482,0.0,58.37654757231032,2.5264622829934156e-14
global,static_all,30,0.2705453355021875,0.057336837305641805,38.17032700723491,1.4896824074277448
global,static_all,60,0.3567577127908253,0.06653640808723048,45.28455463522303,2.3317902888111246
global,static_all,120,0.3457742354462061,0.06471167978123493,45.303910265900804,2.2236086432222435
premeal_center,cgm,30,-0.02641911101028381,0.019409864106671258,45.3084841663566,0.4273990050597633
premeal_center,cgm,60,-0.031686298378302995,0.02622288505831098,57.41705920905971,0.7259436305873459
premeal_center,cgm,120,-0.02346978204424688,0.0198822722158543,56.725466899226845,0.5491792113667413
premeal_center,cgm_static,30,0.27771196720961794,0.0625210023050902,37.97668272834994,1.6307467042019823
premeal_center,cgm_static,60,0.3615801749924292,0.06787011315689803,45.111842381175386,2.37735168776814
premeal_center,cgm_static,120,0.35996093220859005,0.06278346692377437,44.80970176979348,2.206237925962333
premeal_center,persistence_5min,30,0.4055835811542164,5.745950043620392e-17,34.48105934032635,7.354816055834102e-15
premeal_center,persistence_5min,60,-0.023596100665156414,7.814786920988808e-17,57.19575805164106,7.354816055834102e-15
premeal_center,persistence_5min,120,-0.08382131977725482,0.0,58.37654757231032,2.5264622829934156e-14
premeal_center,static_all,30,0.2705453355021875,0.057336837305641805,38.17032700723491,1.4896824074277448
premeal_center,static_all,60,0.3567577127908253,0.06653640808723048,45.28455463522303,2.3317902888111246
premeal_center,static_all,120,0.3457742354462061,0.06471167978123493,45.303910265900804,2.2236086432222435
