model,label,horizon,R2,R2_sd,RMSE,RMSE_sd
C,context only,30,0.25637599102664366,0.04614730517069994,38.55037986469766,1.1974315187568456
C,context only,60,0.35268230702577785,0.08450556871718767,45.40247860261327,2.909168256335412
C,context only,120,0.37895776858504904,0.033984609567275996,44.17534339161321,1.2001477582325757
L_C,level (last bin) + context,30,0.6446822538792072,0.010472231683131354,26.656436218797005,0.3942758798378196
L_C,level (last bin) + context,60,0.5459685643920904,0.0433790844902975,38.05666432934558,1.7724445553186898
L_C,level (last bin) + context,120,0.4601375753037998,0.028252014164370547,41.18818831569753,1.070968870096004
L_S_C,level + shape + context,30,0.6457378902749489,0.010309778450963801,26.61688073499632,0.38811541083807927
L_S_C,level + shape + context,60,0.5427449946723617,0.04502788489814607,38.18920019136961,1.8348680826951604
L_S_C,level + shape + context,120,0.4430102630773833,0.03546943961938181,41.830801228851605,1.3125042792024313
Lm_C,12-bin window mean + context,30,0.5762187375924566,0.01606831067887293,29.109741743661328,0.5496204476002424
Lm_C,12-bin window mean + context,60,0.5130157124560732,0.045827053319359407,39.41437017993333,1.8146775179995251
Lm_C,12-bin window mean + context,120,0.4379314663808689,0.02501243209203258,42.030149869424626,0.9312661173469314
S_C,shape + context,30,0.2757395208703255,0.04634260048394123,38.044248921579594,1.2146066271763076
S_C,shape + context,60,0.3516875941356465,0.08114796478021355,45.44481037059961,2.775128668893746
S_C,shape + context,120,0.3860321702771356,0.037687004821809776,43.919402579468574,1.3367587193003565
