horizon,model,comparison,dR2,lo,hi,dRMSE_mgdl,dRMSE_lo,dRMSE_hi,perm_p
30,cgm_static,global - subject_z,0.22715665828913537,0.17086053956992,0.3138705446232731,-7.284190708222768,-9.303874877351259,-5.2238450543818455,9.999000099990002e-05
30,cgm,global - subject_z,0.4197533146876399,0.32874009871551246,0.501574960418292,-11.716004412111694,-15.467211302502657,-7.9569576896432155,9.999000099990002e-05
60,cgm_static,global - subject_z,0.1472064285297942,0.1113385511250475,0.1965946964602135,-5.673728095289961,-7.546560598158125,-3.8651297424447186,9.999000099990002e-05
60,cgm,global - subject_z,0.31754450199622364,0.21353740244051264,0.4093141978541098,-10.191745591055097,-14.340279203984865,-5.901777394202531,9.999000099990002e-05
120,cgm_static,global - subject_z,0.08710673642448839,0.05238580045387236,0.13299331006429455,-3.1823750721148376,-4.69963461164722,-1.767255666355363,9.999000099990002e-05
120,cgm,global - subject_z,0.23955581950090973,0.1267154440988697,0.33960434778145276,-7.274027608570806,-10.960059247221405,-3.3895313883151377,0.0015998400159984002
