horizon,increment,protocol_1,protocol_2,ddR2,lo,hi,perm_p,seed_pos_frac,holm_p,decide,outcome
30,CGM adds beyond context,global,subject_z,0.2271566582891354,0.17086053956992,0.31387054462327313,9.999000099990002e-05,1.0,,,
30,context adds beyond CGM,global,subject_z,-0.19259665639850457,-0.28736539489031837,-0.07083424784556952,0.009799020097990201,0.0,,,
60,CGM adds beyond context,global,subject_z,0.1472064285297942,0.1113385511250475,0.1965946964602135,9.999000099990002e-05,1.0,0.00019998000199980003,ADDS,CONFIRMED POSITIVE
60,context adds beyond CGM,global,subject_z,-0.17033807346642937,-0.26460635498329244,-0.05259732266816086,0.014898510148985102,0.0,0.014898510148985102,HURTS,SUPPORTED OPPOSITE
120,CGM adds beyond context,global,subject_z,0.08710673642448839,0.05238580045387236,0.13299331006429455,9.999000099990002e-05,1.0,,,
120,context adds beyond CGM,global,subject_z,-0.15244908307642135,-0.2429617728242874,-0.041568957071639275,0.020597940205979402,0.0,,,
