horizon,increment,protocol_1,protocol_2,ddR2,lo,hi,perm_p,seed_pos_frac,holm_p,decide,outcome
30,CGM adds beyond context,global,premeal_center,0.34733741678610214,0.2908586718194971,0.43788519111690277,9.999000099990002e-05,1.0,,,INCONCLUSIVE
30,context adds beyond CGM,global,premeal_center,-0.2277813714568563,-0.31463190582586753,-0.11576548443115524,0.0011998800119988001,0.0,,,INCONCLUSIVE
60,CGM adds beyond context,global,premeal_center,0.18052555826832492,0.14364179942109095,0.22944314062008392,9.999000099990002e-05,1.0,0.00019998000199980003,ADDS,CONFIRMED POSITIVE
60,context adds beyond CGM,global,premeal_center,-0.22479577985195684,-0.3209867476976534,-0.10378411130115554,0.0035996400359964,0.0,0.0035996400359964,HURTS,SUPPORTED OPPOSITE
120,CGM adds beyond context,global,premeal_center,0.10354264427357085,0.06574527993708744,0.1453062707161444,0.00029997000299970003,1.0,,,INCONCLUSIVE
120,context adds beyond CGM,global,premeal_center,-0.1817581496895347,-0.2744406117512753,-0.0666192122669843,0.014698530146985302,0.0,,,INCONCLUSIVE
