seed,fold,arm,channel,level_retained
3,2,global,3,0.1915759488844515
3,2,subject_z,1,4.641085964141434e-31
3,2,subject_z,2,0.13170751638351588
3,2,subject_z,3,0.20478942620823046
3,2,premeal_center,1,0.0
3,2,premeal_center,2,0.0
3,2,premeal_center,3,0.0
3,3,global,1,0.23036960300996398
3,3,global,2,0.26051092393949365
3,3,global,3,0.2277878883029904
3,3,subject_z,1,2.513214654515927e-31
3,3,subject_z,2,0.3658223885449671
3,3,subject_z,3,0.2874760099557728
3,3,premeal_center,1,0.0
3,3,premeal_center,2,0.0
3,3,premeal_center,3,0.0
3,4,global,1,0.36399043722203944
3,4,global,2,0.21500936407911447
3,4,global,3,0.2480849492030379
3,4,subject_z,1,1.7218442522624028e-31
3,4,subject_z,2,0.2461748275904819
3,4,subject_z,3,0.20739083503450503
3,4,premeal_center,1,0.0
3,4,premeal_center,2,0.0
3,4,premeal_center,3,0.0
4,0,global,1,0.5184331040746643
4,0,global,2,0.23924316865769857
4,0,global,3,0.05033636454476768
4,0,subject_z,1,4.113805607210427e-31
4,0,subject_z,2,0.3169806299475226
4,0,subject_z,3,0.4988991543773457
4,0,premeal_center,1,0.0
4,0,premeal_center,2,0.0
4,0,premeal_center,3,0.0
4,1,global,1,0.24894528947415132
4,1,global,2,0.2612114441728994
4,1,global,3,0.26691172301257354
4,1,subject_z,1,1.625452696667735e-31
4,1,subject_z,2,0.17017028748392188
4,1,subject_z,3,0.2020136582131769
4,1,premeal_center,1,0.0
4,1,premeal_center,2,0.0
4,1,premeal_center,3,0.0
4,2,global,1,0.3218873421966766
4,2,global,2,0.282486315855797
4,2,global,3,0.10140152790594406
4,2,subject_z,1,3.1759937694031822e-31
4,2,subject_z,2,0.1231425830913629
4,2,subject_z,3,0.12296352176798915
4,2,premeal_center,1,0.0
4,2,premeal_center,2,0.0
4,2,premeal_center,3,0.0
4,3,global,1,0.2581737767341343
4,3,global,2,0.12873572107657905
4,3,global,3,0.18741391687214684
4,3,subject_z,1,1.6088792866359717e-31
4,3,subject_z,2,0.23426849082029894
4,3,subject_z,3,0.05840349328517633
4,3,premeal_center,1,0.0
4,3,premeal_center,2,0.0
4,3,premeal_center,3,0.0
4,4,global,1,0.3968819619464247
4,4,global,2,0.29068219416798025
4,4,global,3,0.24087308800605536
4,4,subject_z,1,3.5976246590114253e-31
4,4,subject_z,2,0.14378561497350442
4,4,subject_z,3,0.2706276517688148
4,4,premeal_center,1,0.0
4,4,premeal_center,2,0.0
4,4,premeal_center,3,0.0
5,0,global,1,0.5187779775522531
5,0,global,2,0.3123620476779117
5,0,global,3,0.28732385995975424
5,0,subject_z,1,4.4777469051037256e-31
5,0,subject_z,2,0.18983826034641632
5,0,subject_z,3,0.38326710070906883
5,0,premeal_center,1,0.0
5,0,premeal_center,2,0.0
5,0,premeal_center,3,0.0
5,1,global,1,0.1347790618333524
5,1,global,2,0.27481227109252127
5,1,global,3,0.334300308566721
5,1,subject_z,1,2.7297819636640703e-31
5,1,subject_z,2,0.23259905556032803
5,1,subject_z,3,0.15443889085353318
5,1,premeal_center,1,0.0
5,1,premeal_center,2,0.0
5,1,premeal_center,3,0.0
5,2,global,1,0.4426908452349693
5,2,global,2,0.3056332391089273
5,2,global,3,0.18051336179424118
5,2,subject_z,1,1.4290803670041961e-31
5,2,subject_z,2,0.1756829987513143
5,2,subject_z,3,0.21222798359259068
5,2,premeal_center,1,0.0
5,2,premeal_center,2,0.0
5,2,premeal_center,3,0.0
5,3,global,1,0.42439527075979266
5,3,global,2,0.08061181389354191
5,3,global,3,0.06657156396773023
5,3,subject_z,1,2.6543783689455686e-31
5,3,subject_z,2,0.17782597519985183
5,3,subject_z,3,0.24396900220710638
5,3,premeal_center,1,0.0
5,3,premeal_center,2,0.0
5,3,premeal_center,3,0.0
5,4,global,1,0.4109387258159447
5,4,global,2,0.12346310886578632
5,4,global,3,0.13654128904176607
5,4,subject_z,1,2.398082975255978e-31
5,4,subject_z,2,0.16397057672557985
5,4,subject_z,3,0.19794693597833488
5,4,premeal_center,1,0.0
5,4,premeal_center,2,0.0
5,4,premeal_center,3,0.0
6,0,global,1,0.22614995377632502
6,0,global,2,0.11665290346416658
6,0,global,3,0.1848206283422648
6,0,subject_z,1,2.2149259548576274e-31
6,0,subject_z,2,0.19667357041493233
6,0,subject_z,3,0.22999211005257478
6,0,premeal_center,1,0.0
6,0,premeal_center,2,0.0
6,0,premeal_center,3,0.0
6,1,global,1,0.4166756605177519
6,1,global,2,0.26414370146780775
6,1,global,3,0.3098784829963586
6,1,subject_z,1,3.572631215277216e-31
6,1,subject_z,2,0.20980272837242264
6,1,subject_z,3,0.20228145746164544
6,1,premeal_center,1,0.0
6,1,premeal_center,2,0.0
6,1,premeal_center,3,0.0
6,2,global,1,0.3176322196287725
6,2,global,2,0.14952316439240484
6,2,global,3,0.12392783698548862
6,2,subject_z,1,2.044437701066251e-31
