horizon,protocol,increment,dR2,lo,hi,perm_p,seed_pos_frac,level_preserved,leakage,label
30,global,CGM adds beyond context,0.8498292583209238,0.7446215871458024,0.9776228441294316,9.999000099990002e-05,1.0,True,False,Fold-wise global (corrected)
30,global,context adds beyond CGM,0.016133518128426918,0.0030553032532071064,0.028951358941158835,0.013998600139986002,1.0,True,False,Fold-wise global (corrected)
30,subject_scale,CGM adds beyond context,0.7768325172447563,0.6693797158927741,0.9056628152086507,9.999000099990002e-05,1.0,True,True,Per-subject scaling only
30,subject_scale,context adds beyond CGM,0.029803940268570462,0.009990287933820093,0.05185692873019741,0.0044995500449955,1.0,True,True,Per-subject scaling only
30,premeal_center,CGM adds beyond context,0.25486702254092003,0.1870588230358862,0.3353084007991244,9.999000099990002e-05,1.0,False,False,Causal pre-meal centering
30,premeal_center,context adds beyond CGM,0.06147608682006096,-0.014815541006473839,0.13769452181619893,0.12998700129987,1.0,False,False,Causal pre-meal centering
30,subject_center,CGM adds beyond context,0.5675549624773404,0.48314297045579463,0.6581790027773803,9.999000099990002e-05,1.0,False,True,Per-subject centering only
30,subject_center,context adds beyond CGM,0.06834879033157121,-0.02117662428628554,0.14810560750087148,0.1374862513748625,1.0,False,True,Per-subject centering only
30,subject_z,CGM adds beyond context,0.49149056969878874,0.4123999338636664,0.5780276096459466,9.999000099990002e-05,1.0,False,True,Per-subject z-score (as published)
30,subject_z,context adds beyond CGM,0.10530366273152948,-0.005311551499449453,0.2120267767281459,0.06629337066293371,1.0,False,True,Per-subject z-score (as published)
60,global,CGM adds beyond context,0.5144695985461994,0.40155554582907554,0.6534774004974216,9.999000099990002e-05,1.0,True,False,Fold-wise global (corrected)
60,global,context adds beyond CGM,0.09494066836450357,0.05876462144831559,0.13283509006489383,9.999000099990002e-05,1.0,True,False,Fold-wise global (corrected)
60,subject_scale,CGM adds beyond context,0.45617001979884675,0.35045410330433435,0.5871226945536495,9.999000099990002e-05,1.0,True,True,Per-subject scaling only
60,subject_scale,context adds beyond CGM,0.07426827471047105,0.03646194593650167,0.11262479447466642,0.00039996000399960006,1.0,True,True,Per-subject scaling only
60,premeal_center,CGM adds beyond context,0.149919861046097,0.09203403151770213,0.22853430394525445,9.999000099990002e-05,1.0,False,False,Causal pre-meal centering
60,premeal_center,context adds beyond CGM,0.10387067483415771,0.009945849258150745,0.19564428819331717,0.034396560343965606,1.0,False,False,Causal pre-meal centering
60,subject_center,CGM adds beyond context,0.2808356869060183,0.2063780512639872,0.35804706301265665,9.999000099990002e-05,1.0,False,True,Per-subject centering only
60,subject_center,context adds beyond CGM,0.09638219380122554,-0.018010192017700835,0.1896396703285303,0.0730926907309269,1.0,False,True,Per-subject centering only
60,subject_z,CGM adds beyond context,0.2446550644307838,0.17361478783886364,0.31726599628569735,9.999000099990002e-05,1.0,False,True,Per-subject z-score (as published)
60,subject_z,context adds beyond CGM,0.10691675779954492,-0.017767050578069755,0.2198138076797701,0.08799120087991201,1.0,False,True,Per-subject z-score (as published)
120,global,CGM adds beyond context,0.2870637094789166,0.17808631327358648,0.43247235156062674,9.999000099990002e-05,1.0,True,False,Fold-wise global (corrected)
120,global,context adds beyond CGM,0.10472499831538325,0.06055376737540878,0.15000422118936224,9.999000099990002e-05,1.0,True,False,Fold-wise global (corrected)
120,subject_scale,CGM adds beyond context,0.26989215918909326,0.16521555036086477,0.4093751051113791,9.999000099990002e-05,1.0,True,True,Per-subject scaling only
120,subject_scale,context adds beyond CGM,0.05705454475497105,0.01146828386135615,0.10148173270650764,0.018598140185981403,1.0,True,True,Per-subject scaling only
120,premeal_center,CGM adds beyond context,0.10379999113640774,0.05400537565884128,0.17880981080077302,9.999000099990002e-05,1.0,False,False,Causal pre-meal centering
120,premeal_center,context adds beyond CGM,0.17847928451716505,0.08506306676725081,0.26892555386730016,0.0010998900109989002,1.0,False,False,Causal pre-meal centering
120,subject_center,CGM adds beyond context,0.09136817388250966,0.024348298588437168,0.15700731245425673,0.0093990600939906,1.0,False,True,Per-subject centering only
120,subject_center,context adds beyond CGM,0.08163216738240436,-0.04199945398323533,0.19247075268320457,0.19758024197580243,1.0,False,True,Per-subject centering only
120,subject_z,CGM adds beyond context,0.08299805462610742,0.002926858360827544,0.15319258171149108,0.035996400359964,1.0,False,True,Per-subject z-score (as published)
120,subject_z,context adds beyond CGM,0.09953279736801673,-0.027571424922259533,0.21937782394220898,0.13068693130686931,1.0,False,True,Per-subject z-score (as published)
