scenario,sim,comparison,ddR2,lo,hi,perm_p,holm_p,seed_pos_frac,verdict,ref_ddR2,ci_covers_ref
level_dominant,0,global_vs_premeal,0.23952414039101255,0.16756595065822005,0.3404925255052199,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.25403134318928433,True
level_dominant,0,global_vs_subz,0.1632120732210162,0.09893059087523416,0.2499238010369896,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.17034733950238645,True
level_dominant,0,global_vs_subcenter,0.1530617787961288,0.09016560663861431,0.23597970561949078,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.15757835712662946,True
level_dominant,1,global_vs_premeal,0.3245061162260886,0.24521440765876468,0.44177549271181177,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.25403134318928433,True
level_dominant,1,global_vs_subz,0.22444365554997195,0.1469822507993962,0.33992698785675457,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.17034733950238645,True
level_dominant,1,global_vs_subcenter,0.2110747697597556,0.1318684219141606,0.32594384437130436,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.15757835712662946,True
level_dominant,2,global_vs_premeal,0.2293487758817877,0.16861878222111018,0.31435688296519765,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.25403134318928433,True
level_dominant,2,global_vs_subz,0.1389835290029863,0.09321915892064252,0.19856070954353489,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.17034733950238645,True
level_dominant,2,global_vs_subcenter,0.12564904483066683,0.08084014457364541,0.18397552417500548,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.15757835712662946,True
level_dominant,3,global_vs_premeal,0.2155454699880794,0.15128540804890522,0.3010750862706082,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.25403134318928433,True
level_dominant,3,global_vs_subz,0.13181530677432712,0.08327182479526384,0.19608044405943761,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.17034733950238645,True
level_dominant,3,global_vs_subcenter,0.1225370146701874,0.07463346728843324,0.18612901858630101,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.15757835712662946,True
level_dominant,4,global_vs_premeal,0.29635275848402365,0.20707416269424353,0.4175195546542402,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.25403134318928433,True
level_dominant,4,global_vs_subz,0.22075257980684143,0.13498134738279977,0.32870080614038144,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.17034733950238645,True
level_dominant,4,global_vs_subcenter,0.20792979607627451,0.12313312680081505,0.31441360102633825,0.00019998000199980003,0.00029997000299970003,1.0,CHANGES,0.15757835712662946,True
level_dominant,5,global_vs_premeal,0.36914138072682817,0.28427627939369826,0.47969872086515897,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.25403134318928433,False
level_dominant,5,global_vs_subz,0.24973613306852688,0.16489983441033648,0.3636649911031612,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.17034733950238645,True
level_dominant,5,global_vs_subcenter,0.24490062063824822,0.16033982874885866,0.35690476596921217,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.15757835712662946,False
level_dominant,6,global_vs_premeal,0.2455863470482344,0.18152305283673856,0.3376862075949197,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.25403134318928433,True
level_dominant,6,global_vs_subz,0.16667823588804365,0.10988816485185494,0.24468689288789938,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.17034733950238645,True
level_dominant,6,global_vs_subcenter,0.1485577653038749,0.0900126662455839,0.22616042002288334,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.15757835712662946,True
level_dominant,7,global_vs_premeal,0.371250150245639,0.27467287552427017,0.5055089389278979,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.25403134318928433,False
level_dominant,7,global_vs_subz,0.26237804524648467,0.16778438325510012,0.3899570505591822,9.999000099990002e-05,0.00029997000299970003,1.0,CHANGES,0.17034733950238645,True
