deep,baseline,baseline_label,seed_pos_frac,dR2_60,R2_lo,R2_hi,dRMSE_60,RMSE_lo,RMSE_hi,perm_p,holm_p,verdict
dl_current_binned,random_forest@binned,Random Forest (5-min input),0.5,0.01815988480467867,-0.03379301486963418,0.05985409822516693,-0.7245190262152663,-2.5338526826321375,1.1879217382527474,0.46855314468553144,0.46855314468553144,INCONCLUSIVE
dl_current_binned,random_forest@highres,Random Forest,1.0,0.0359851181648398,-0.01760337463197513,0.07844976718555789,-1.446469463741641,-3.5003129166568296,0.5764192463736186,0.19888011198880112,0.39776022397760225,INCONCLUSIVE
dl_current_binned,catboost@highres,CatBoost,1.0,0.055224147531628534,-0.006800687207346259,0.10435138548013682,-2.189659161651477,-4.7023085014763115,0.19780465955996673,0.1121887811218878,0.33656634336566343,INCONCLUSIVE
dl_current_binned,hist_gbm@highres,Hist. Gradient Boosting,1.0,0.06106519473741202,0.013426684877100909,0.11220256117857376,-2.4135198778579072,-4.331874619109836,-0.46088324888261484,0.017698230176982303,0.12388761123887612,INCONCLUSIVE
dl_current_binned,lightgbm@highres,LightGBM,1.0,0.06311663357441458,0.009180681245849984,0.10876834908384338,-2.4958641102065657,-4.721464103184352,-0.3087423207856119,0.0400959904009599,0.2405759424057594,INCONCLUSIVE
dl_current_binned,ridge@binned,Ridge (5-min input),1.0,0.06604380046583692,0.008757053656539285,0.11141497322017585,-2.6087745220026113,-5.202824928013212,-0.287805669848747,0.0456954304569543,0.2405759424057594,INCONCLUSIVE
dl_current_binned,xgboost@highres,XGBoost,0.875,0.06685419079972849,0.004313193533292974,0.11860861244363285,-2.6163686787954665,-5.274794355035116,-0.12640281224348993,0.065993400659934,0.263973602639736,INCONCLUSIVE
dl_current_binned,hist_gbm@binned,Hist. Gradient Boosting (5-min input),1.0,0.07139507721898054,0.02614626121403384,0.1247355967115974,-2.806390869362847,-4.634662440811872,-0.9766092574335957,0.004299570042995701,0.038696130386961305,ADDS
dl_current_binned,ridge@highres,Ridge,1.0,0.07954690590492211,0.027761876180830106,0.12408792808138704,-3.1352532558388386,-5.6189025288420105,-0.8796377304743226,0.010798920107989201,0.08639136086391361,INCONCLUSIVE
dl_current_binned,svr_rbf@highres,SVR (RBF),1.0,0.1534933501494159,0.06831987008071033,0.23625848542292485,-5.847906982327398,-9.83567708916425,-2.2390236435285638,0.0033996600339966003,0.033996600339966,ADDS
dl_current_binned,persistence_5min,Persistence (last reading),1.0,0.5450029703982266,0.38920997352249986,0.7169836254803496,-18.1075940795094,-24.045383550710856,-11.781171034255207,9.999000099990002e-05,0.0011998800119988001,ADDS
dl_current_binned,dummy_mean,Dummy (train mean),1.0,0.5579132499785115,0.3980196415408809,0.6875180683873695,-18.462998360551275,-26.624382083122146,-10.637725236912525,9.999000099990002e-05,0.0011998800119988001,ADDS
