NRMSE_30,R2_30,MARD_30,NRMSE_60,R2_60,MARD_60,NRMSE_120,R2_120,MARD_120,trees,protocol,model,seed,fold
0.06993857771158218,0.7322952747344971,11.426468849182129,0.09364785999059677,0.6624016761779785,15.101061820983887,0.10469835996627808,0.5981981158256531,15.767894744873047,100,global,cgm_static,0,0
0.10602570325136185,0.3847595453262329,17.898853302001953,0.11187611520290375,0.518186092376709,19.16280746459961,0.11197784543037415,0.5403826236724854,18.287935256958008,100,global,static_all,0,0
0.09466296434402466,0.5095635652542114,15.730805397033691,0.10634936392307281,0.5646140575408936,17.354839324951172,0.10868120938539505,0.5670466423034668,17.552324295043945,100,subject_z,cgm_static,0,0
0.10602570325136185,0.3847595453262329,17.898853302001953,0.11187611520290375,0.518186092376709,19.16280746459961,0.11197784543037415,0.5403826236724854,18.287935256958008,100,subject_z,static_all,0,0
0.08505290001630783,0.6106985807418823,12.963393211364746,0.11441502720117569,0.582343578338623,15.981717109680176,0.13656432926654816,0.5287840366363525,18.557008743286133,100,global,cgm_static,0,1
0.10740604251623154,0.3791807293891907,16.43140983581543,0.13842330873012543,0.3886758089065552,19.236358642578125,0.14353084564208984,0.4794818162918091,19.836807250976562,100,global,static_all,0,1
0.10256456583738327,0.4338878393173218,15.434038162231445,0.13715001940727234,0.39987075328826904,18.652280807495117,0.1457606554031372,0.4631831645965576,19.611337661743164,100,subject_z,cgm_static,0,1
0.10740604251623154,0.3791807293891907,16.43140983581543,0.13842330873012543,0.3886758089065552,19.236358642578125,0.14353084564208984,0.4794818162918091,19.836807250976562,100,subject_z,static_all,0,1
0.0663500502705574,0.5648836493492126,14.178278923034668,0.10279744863510132,0.49960851669311523,21.904083251953125,0.10547643899917603,0.4323068857192993,21.075471878051758,100,global,cgm_static,0,2
0.09976573288440704,0.016247928142547607,23.119449615478516,0.11966615170240402,0.3219091296195984,24.328153610229492,0.10532665252685547,0.4339181184768677,19.73097038269043,100,global,static_all,0,2
0.07723388820886612,0.41042560338974,17.30160903930664,0.11834826320409775,0.33676254749298096,24.417680740356445,0.11091990768909454,0.37219947576522827,21.035215377807617,100,subject_z,cgm_static,0,2
0.09976573288440704,0.016247928142547607,23.119449615478516,0.11966615170240402,0.3219091296195984,24.328153610229492,0.10532665252685547,0.4339181184768677,19.73097038269043,100,subject_z,static_all,0,2
0.07923328876495361,0.5053603649139404,18.19289779663086,0.09929130226373672,0.4655148386955261,21.373598098754883,0.11906643956899643,0.13700014352798462,20.8259334564209,100,global,cgm_static,0,3
0.11601994931697845,-0.060569167137145996,27.619016647338867,0.11095528304576874,0.3325645923614502,24.0063533782959,0.12942107021808624,-0.019628405570983887,21.236310958862305,100,global,static_all,0,3
0.10068085789680481,0.20132988691329956,24.795541763305664,0.10069623589515686,0.4502822160720825,22.440256118774414,0.1250617653131485,0.04790329933166504,21.45591163635254,100,subject_z,cgm_static,0,3
0.11601994931697845,-0.060569167137145996,27.619016647338867,0.11095528304576874,0.3325645923614502,24.0063533782959,0.12942107021808624,-0.019628405570983887,21.236310958862305,100,subject_z,static_all,0,3
0.06604477763175964,0.5302462577819824,13.98775577545166,0.10984881967306137,0.26710379123687744,21.27450180053711,0.09887288510799408,0.2964547276496887,19.238561630249023,100,global,cgm_static,0,4
0.10741883516311646,-0.24266541004180908,26.431692123413086,0.15972262620925903,-0.5494749546051025,32.2805061340332,0.10611019283533096,0.18968874216079712,21.38237190246582,100,global,static_all,0,4
0.09316665679216385,0.06520938873291016,21.276639938354492,0.15700682997703552,-0.4972306489944458,32.42849349975586,0.11285880953073502,0.08333933353424072,22.22899055480957,100,subject_z,cgm_static,0,4
0.10741883516311646,-0.24266541004180908,26.431692123413086,0.15972262620925903,-0.5494749546051025,32.2805061340332,0.10611019283533096,0.18968874216079712,21.38237190246582,100,subject_z,static_all,0,4
0.06899484246969223,0.7394711971282959,11.190933227539062,0.09351613372564316,0.6633507013320923,15.072298049926758,0.10478175431489944,0.5975578427314758,15.739572525024414,300,global,cgm_static,0,0
0.10533277690410614,0.3927750587463379,17.429115295410156,0.11070562154054642,0.528215229511261,19.191007614135742,0.11130677908658981,0.5458749532699585,18.099939346313477,300,global,static_all,0,0
0.09419205039739609,0.5144308805465698,15.53699779510498,0.10573562979698181,0.5696247816085815,17.485172271728516,0.11039844900369644,0.553256630897522,17.514183044433594,300,subject_z,cgm_static,0,0
0.10533277690410614,0.3927750587463379,17.429115295410156,0.11070562154054642,0.528215229511261,19.191007614135742,0.11130677908658981,0.5458749532699585,18.099939346313477,300,subject_z,static_all,0,0
0.08495603501796722,0.6115848422050476,12.88951301574707,0.11438000947237015,0.5825992226600647,15.933052062988281,0.1372908353805542,0.5237569808959961,18.562881469726562,300,global,cgm_static,0,1
0.10715670883655548,0.38205981254577637,16.622777938842773,0.1370566040277481,0.4006880521774292,18.892297744750977,0.14444489777088165,0.47283095121383667,19.7056941986084,300,global,static_all,0,1
0.1022285744547844,0.4375908374786377,15.437637329101562,0.13526003062725067,0.41629689931869507,18.406694412231445,0.14793333411216736,0.44706058502197266,19.841699600219727,300,subject_z,cgm_static,0,1
0.10715670883655548,0.38205981254577637,16.622777938842773,0.1370566040277481,0.4006880521774292,18.892297744750977,0.14444489777088165,0.47283095121383667,19.7056941986084,300,subject_z,static_all,0,1
0.0671570748090744,0.554234504699707,14.384424209594727,0.10349900275468826,0.4927552342414856,22.020503997802734,0.10386119037866592,0.44956082105636597,20.74351692199707,300,global,cgm_static,0,2
0.10049182921648026,0.0018762946128845215,23.398080825805664,0.11911047995090485,0.3281920552253723,24.208555221557617,0.10418815165758133,0.4460897445678711,19.717487335205078,300,global,static_all,0,2
0.07793546468019485,0.3996657729148865,17.825231552124023,0.11697400361299515,0.3520762324333191,24.20935821533203,0.11168180406093597,0.36354517936706543,21.146556854248047,300,subject_z,cgm_static,0,2
0.10049182921648026,0.0018762946128845215,23.398080825805664,0.11911047995090485,0.3281920552253723,24.208555221557617,0.10418815165758133,0.4460897445678711,19.717487335205078,300,subject_z,static_all,0,2
0.07857406139373779,0.513556957244873,18.114822387695312,0.09965144097805023,0.4616304636001587,21.550813674926758,0.11997643113136292,0.12375855445861816,20.762102127075195,300,global,cgm_static,0,3
0.1166926696896553,-0.07290387153625488,27.942169189453125,0.10993779450654984,0.3447495102882385,23.795652389526367,0.13288483023643494,-0.07493627071380615,21.484474182128906,300,global,static_all,0,3
0.1010337695479393,0.19572091102600098,24.806413650512695,0.10181796550750732,0.43796664476394653,22.603940963745117,0.12745001912117004,0.011192619800567627,21.594078063964844,300,subject_z,cgm_static,0,3
0.1166926696896553,-0.07290387153625488,27.942169189453125,0.10993779450654984,0.3447495102882385,23.795652389526367,0.13288483023643494,-0.07493627071380615,21.484474182128906,300,subject_z,static_all,0,3
0.06568732112646103,0.5353174209594727,13.811034202575684,0.11005104333162308,0.26440298557281494,21.168657302856445,0.0973837673664093,0.3174872398376465,18.657428741455078,300,global,cgm_static,0,4
0.10755335539579391,-0.2457796335220337,26.339733123779297,0.15485148131847382,-0.45640575885772705,31.354612350463867,0.10574746876955032,0.19521909952163696,21.23598289489746,300,global,static_all,0,4
0.09367518872022629,0.054976820945739746,21.526065826416016,0.15405680239200592,-0.4414961338043213,31.880361557006836,0.11295473575592041,0.08178049325942993,22.203943252563477,300,subject_z,cgm_static,0,4
0.10755335539579391,-0.2457796335220337,26.339733123779297,0.15485148131847382,-0.45640575885772705,31.354612350463867,0.10574746876955032,0.19521909952163696,21.23598289489746,300,subject_z,static_all,0,4
0.06899909675121307,0.7394390106201172,11.141655921936035,0.09269657731056213,0.6692255735397339,14.899577140808105,0.10472827404737473,0.597968578338623,15.90749454498291,500,global,cgm_static,0,0
0.10522355884313583,0.3940337300300598,17.437210083007812,0.11048118025064468,0.5301262140274048,19.07270622253418,0.11087599396705627,0.5493834018707275,18.162734985351562,500,global,static_all,0,0
0.09376031160354614,0.5188720226287842,15.452577590942383,0.10563410073518753,0.5704507827758789,17.51934814453125,0.11062715947628021,0.5514037609100342,17.559886932373047,500,subject_z,cgm_static,0,0
0.10522355884313583,0.3940337300300598,17.437210083007812,0.11048118025064468,0.5301262140274048,19.07270622253418,0.11087599396705627,0.5493834018707275,18.162734985351562,500,subject_z,static_all,0,0
0.08428085595369339,0.6177340745925903,12.787672996520996,0.1142914667725563,0.5832450985908508,15.880859375,0.137360617518425,0.5232728123664856,18.527175903320312,500,global,cgm_static,0,1
