horizon,protocol,increment,dR2,lo,hi,perm_p,seed_pos_frac,level_preserved,leakage,label
30,global,CGM adds beyond context,0.3850125083219409,0.28216689962195285,0.5512856570014285,9.999000099990002e-05,1.0,True,False,Fold-wise global (corrected)
30,global,context adds beyond CGM,0.08533664670587655,0.05053196619666506,0.12218926408592984,0.00019998000199980003,1.0,True,False,Fold-wise global (corrected)
30,subject_scale,CGM adds beyond context,0.3438424861734743,0.25486163841615944,0.4839360662068239,9.999000099990002e-05,1.0,True,True,Per-subject scaling only
30,subject_scale,context adds beyond CGM,0.11499683140909908,0.05803150583238316,0.18046484165980903,0.00019998000199980003,1.0,True,True,Per-subject scaling only
30,premeal_center,CGM adds beyond context,0.0033852864158809568,-0.027221214747205773,0.04341401458322719,0.8500149985001499,0.625,False,False,Causal pre-meal centering
30,premeal_center,context adds beyond CGM,0.35910922408352586,0.1771538780688213,0.5065896598546425,0.0014998500149985001,1.0,False,False,Causal pre-meal centering
30,subject_center,CGM adds beyond context,0.12716638251184895,0.0706400803904452,0.1977713059719497,9.999000099990002e-05,1.0,False,True,Per-subject centering only
30,subject_center,context adds beyond CGM,0.3721013085730723,0.20252645191014473,0.5155574906094258,0.0004999500049995,1.0,False,True,Per-subject centering only
30,subject_z,CGM adds beyond context,0.16124963052048427,0.11333088080394717,0.2349388690599817,9.999000099990002e-05,1.0,False,True,Per-subject z-score (as published)
30,subject_z,context adds beyond CGM,0.30177177894809865,0.11793973718153267,0.4502499588293029,0.0051994800519948,1.0,False,True,Per-subject z-score (as published)
60,global,CGM adds beyond context,0.19665755956049316,0.14174658004932464,0.28402601228979113,9.999000099990002e-05,1.0,True,False,Fold-wise global (corrected)
60,global,context adds beyond CGM,0.18403824512968453,0.13564065920216475,0.24020875655518398,9.999000099990002e-05,1.0,True,False,Fold-wise global (corrected)
60,subject_scale,CGM adds beyond context,0.17557700045398295,0.10420950604970161,0.2801457357625349,9.999000099990002e-05,1.0,True,True,Per-subject scaling only
60,subject_scale,context adds beyond CGM,0.17754658868929907,0.10207866127958376,0.24516840500261416,9.999000099990002e-05,1.0,True,True,Per-subject scaling only
60,premeal_center,CGM adds beyond context,-0.0011037013637157662,-0.019073560525656962,0.020440571171728886,0.9101089891010898,0.5,False,False,Causal pre-meal centering
60,premeal_center,context adds beyond CGM,0.4639464868079522,0.3070345337924038,0.5964392354714246,9.999000099990002e-05,1.0,False,False,Causal pre-meal centering
60,subject_center,CGM adds beyond context,0.01984028011557135,-0.01576704860925321,0.05372372296497878,0.25977402259774024,1.0,False,True,Per-subject centering only
60,subject_center,context adds beyond CGM,0.440224338643349,0.2871856826198623,0.5700053728515342,0.00029997000299970003,1.0,False,True,Per-subject centering only
60,subject_z,CGM adds beyond context,0.023356569011930412,-0.005409052926785336,0.05512191016797486,0.11188881111888811,1.0,False,True,Per-subject z-score (as published)
60,subject_z,context adds beyond CGM,0.3260056171543417,0.14593299504573826,0.48336728788451777,0.0031996800319968005,1.0,False,True,Per-subject z-score (as published)
120,global,CGM adds beyond context,0.07964700099006698,0.04146890204031826,0.13859290959105358,0.00029997000299970003,1.0,True,False,Fold-wise global (corrected)
120,global,context adds beyond CGM,0.23241881871526923,0.14062263025085991,0.328649723600219,9.999000099990002e-05,1.0,True,False,Fold-wise global (corrected)
120,subject_scale,CGM adds beyond context,0.060622376878099786,0.015297212291042141,0.11906571700529896,0.011398860113988602,1.0,True,True,Per-subject scaling only
120,subject_scale,context adds beyond CGM,0.19112106225588044,0.08947368947241886,0.2814891450637923,0.0006999300069993001,1.0,True,True,Per-subject scaling only
120,premeal_center,CGM adds beyond context,0.009067699617797515,-0.022248249776132885,0.04302107712081906,0.5793420657934206,1.0,False,False,Causal pre-meal centering
120,premeal_center,context adds beyond CGM,0.4941168326603452,0.29452156756526726,0.6682894746969001,0.00019998000199980003,1.0,False,False,Causal pre-meal centering
120,subject_center,CGM adds beyond context,-0.004135832824190294,-0.02472994064395069,0.01946896667483533,0.7185281471852815,0.375,False,True,Per-subject centering only
120,subject_center,context adds beyond CGM,0.3998795974609326,0.238872357379729,0.5374032990667232,0.00029997000299970003,1.0,False,True,Per-subject centering only
120,subject_z,CGM adds beyond context,0.0017272156746896135,-0.02704776667343127,0.027326527492156322,0.8989101089891011,0.625,False,True,Per-subject z-score (as published)
120,subject_z,context adds beyond CGM,0.41748485470625135,0.23518219690160505,0.5919437597051671,0.00039996000399960006,1.0,False,True,Per-subject z-score (as published)
