setting,increment,DDR2,lo,hi,perm_p,seed_pos_frac,n_meals
excluded,CGM adds beyond context,0.1778353748852446,0.11710568293091257,0.2727015505356607,9.999000099990002e-05,1.0,894
capped,CGM adds beyond context,0.1733009905485627,0.1169243130137903,0.2594644289397975,9.999000099990002e-05,1.0,913
