horizon,model,comparison,dRMSE,dRMSE_lo,dRMSE_hi,dMAE,dMAE_lo,dMAE_hi,worse_in_first
30,full,t2d - healthy,8.23913496645644,-0.42696333153263377,16.051073421173722,5.5903258002863865,-0.5516173186002655,10.76731663663592,True
30,full,t2d - prediabetes,7.588470878677814,0.5278440493246581,13.566942404795336,4.998404401993138,-0.1384746180476096,9.19351341055983,True
30,full,prediabetes - healthy,0.650664087778626,-7.428883488109648,8.920707255444961,0.5919213982932483,-5.36888868081301,6.415944016202944,True
30,cgm_static,t2d - healthy,6.890842215121275,-1.3342673903713813,14.310169586389577,4.752420940850552,-1.371188316828721,9.922895694560145,True
30,cgm_static,t2d - prediabetes,6.897643383518261,0.015296042324701716,12.634259019984615,4.830921452735069,-0.6255394178522824,9.21714142464166,True
30,cgm_static,prediabetes - healthy,-0.006801168396986412,-7.83234648592785,8.028943910046303,-0.07850051188451701,-6.0373325254200845,5.817518248738452,False
30,cgm_person_meal,t2d - healthy,7.813381513040859,-0.7588245312573711,15.663469762043661,5.94487297705151,-0.4936005872531666,11.493463045348356,True
30,cgm_person_meal,t2d - prediabetes,8.97274861625035,2.372351626723771,14.430220239701137,6.6214074570280275,1.3224928669032738,10.909338526781875,True
30,cgm_person_meal,prediabetes - healthy,-1.1593671032094903,-9.233726875476014,6.963619608239375,-0.6765344799765174,-6.940603918075524,5.242410858399705,False
30,cgm,t2d - healthy,10.259426557413477,0.4602937129246134,19.10620322312735,7.3112400260650645,0.35447189065485846,13.143554791430054,True
30,cgm,t2d - prediabetes,11.636204270058272,4.191793566025055,17.98957620299262,8.053843100662167,2.8422820961828785,12.449261049704042,True
30,cgm,prediabetes - healthy,-1.3767777126447953,-9.728432143600575,6.552530401774275,-0.7426030745971026,-7.104642767755215,4.803982486612193,False
30,static_all,t2d - healthy,11.168970606418213,1.1112874408262177,19.989913489793228,7.6057482179638285,0.5811126189880006,14.184673498005228,True
30,static_all,t2d - prediabetes,7.639935589393765,-2.501045610683528,16.64769499267019,4.274119213317327,-4.2222644318314755,11.474198515337209,True
30,static_all,prediabetes - healthy,3.529035017024448,-5.112426067841265,12.393842610960974,3.3316290046465014,-3.0710221507884907,10.508400798807624,True
30,persistence_5min,t2d - healthy,10.55327664746013,-2.0900809846120536,21.75721082475683,6.446037735849057,-3.298266575065853,14.337396677620918,True
30,persistence_5min,t2d - prediabetes,10.408440625469925,0.5346879791534308,18.53921690829631,5.688214606597356,-1.8013611950629513,12.317938430707809,True
30,persistence_5min,prediabetes - healthy,0.14483602199020496,-11.24524310921067,11.149053568108041,0.757823129251701,-8.287198303846994,8.798280508153512,True
60,full,t2d - healthy,10.18439642821621,-2.516942713087859,20.513910895140206,10.7698428881776,1.7822653723118391,17.872597753181314,True
60,full,t2d - prediabetes,6.75861237583625,-1.6997520415302019,14.052801142796955,6.247905851835682,-1.3820895875771386,12.533634835060031,True
60,full,prediabetes - healthy,3.42578405237996,-9.803821958409488,16.062303120565126,4.521937036341917,-4.686757945631186,13.35931961411725,True
60,cgm_static,t2d - healthy,9.527998482748842,-3.0069229876965355,19.951116719570457,9.7844666193939,0.5078663614053084,17.164409014543207,True
60,cgm_static,t2d - prediabetes,6.659708277651191,-1.8295929310754377,14.154091629358165,6.031089174919089,-1.663841517319962,12.438248193987322,True
60,cgm_static,prediabetes - healthy,2.868290205097651,-10.266849822035898,15.431067065251044,3.753377444474811,-5.527419435606475,12.788497739384018,True
60,cgm_person_meal,t2d - healthy,11.116701056635982,-2.1310954189772633,22.204020978233768,11.495591995956872,1.6961005416901338,19.19414855559463,True
60,cgm_person_meal,t2d - prediabetes,9.839080565581057,1.285745782582102,17.117616923573614,8.960129563012266,1.3362965130020286,15.31889413842572,True
60,cgm_person_meal,prediabetes - healthy,1.2776204910549254,-12.411155116235465,14.162273009014994,2.5354624329446054,-7.124463665796836,11.617396665400955,True
60,cgm,t2d - healthy,13.14037640299378,-0.8025023202581106,24.9589239287715,10.710952945951249,0.9829972968128197,18.574386824685153,True
60,cgm,t2d - prediabetes,14.128858974955264,3.2581073695869973,23.664475280327707,11.837813582825643,3.292953929641829,19.066504146661128,True
60,cgm,prediabetes - healthy,-0.9884825719614838,-15.463102685487975,12.746621783097925,-1.1268606368743939,-11.128415138349169,8.498153256096128,False
60,static_all,t2d - healthy,8.96919438306162,-4.22754487546275,21.08308448814727,8.940886796243252,-0.27313248931993006,17.803773643981025,True
60,static_all,t2d - prediabetes,3.7201345111173865,-6.6860949138297485,12.707981636716339,4.7009185157221225,-4.314752002888097,12.270469025371982,True
60,static_all,prediabetes - healthy,5.249059871944233,-9.073511640795578,19.895088610020373,4.239968280521129,-6.001126741678564,15.073653484967332,True
60,persistence_5min,t2d - healthy,29.238270398375967,7.703333488515307,48.315167617096186,26.470251572327047,10.122126891657627,39.21258200273114,True
60,persistence_5min,t2d - prediabetes,20.237983472324792,5.394251895056535,33.469063906669994,15.129736509158924,2.5886773400286547,26.64592958841744,True
60,persistence_5min,prediabetes - healthy,9.000286926051174,-11.364342028673121,27.753173708510218,11.340515063168123,-3.7134141013445388,23.980845661445933,True
120,full,t2d - healthy,23.502394271744315,8.789550098576333,36.25393397065248,21.837084409282344,13.072388754039801,28.855585368838796,True
120,full,t2d - prediabetes,19.172375345613318,9.673322404200363,27.945152254247223,16.678435962701926,10.175151834130542,22.836283040296024,True
120,full,prediabetes - healthy,4.330018926130997,-9.688098426351756,16.954155278461194,5.158648446580418,-3.1068934257817813,12.28674344326236,True
120,cgm_static,t2d - healthy,21.591161827422845,7.309247443337293,34.091051478402775,19.367976386446173,10.83256960550406,26.30163518289613,True
120,cgm_static,t2d - prediabetes,19.633285683738038,10.129080482316228,28.504163626134705,16.54133269152594,10.57249365087923,22.528931648666763,True
120,cgm_static,prediabetes - healthy,1.957876143684807,-11.319987613540558,13.712112239363579,2.8266436949202323,-5.205602896163854,9.37949437801207,True
120,cgm_person_meal,t2d - healthy,22.297128942981942,7.408792332132749,35.04125276345921,19.790788101143683,10.395550133639215,27.239586167559786,True
120,cgm_person_meal,t2d - prediabetes,20.187818436465058,10.428173961260558,29.08161926716172,16.822038726032325,10.357254120626076,22.98539742589406,True
120,cgm_person_meal,prediabetes - healthy,2.1093105065168842,-11.73851879059553,14.204138841028604,2.968749375111358,-5.488572359533692,9.65011809748089,True
120,cgm,t2d - healthy,17.90541307273287,2.0239213113011654,31.503380785931117,13.709332117727989,2.8005565116463744,23.030250288488165,True
120,cgm,t2d - prediabetes,22.127757572057362,10.990847136781104,31.5213277571561,18.166129560603352,10.358225009996781,25.068444385219074,True
