trees,DDR2,lo,hi,perm_p,seed_pos_frac
100,0.19851330100407527,0.10552091293201843,0.3489660110366643,9.999000099990002e-05,1.0
300,0.18345897657123197,0.0978013577393393,0.3214675232968903,9.999000099990002e-05,1.0
500,0.18550278793843636,0.09959650803455576,0.32571811472869705,9.999000099990002e-05,1.0
1000,0.1853897903033522,0.0998778674067763,0.324417895742243,9.999000099990002e-05,1.0
