horizon,diag,group,model,n_participants,n_meals,R2,R2_lo,R2_hi,RMSE,RMSE_lo,RMSE_hi,MAE,MAE_lo,MAE_hi,bias,skill_vs_persistence,skill_lo,skill_hi
30,0,healthy,full,11,252,0.39943123593672164,0.1721133009450608,0.48296350876114413,24.191708514613218,17.797285513890046,30.91427083994356,18.49375568005952,14.391147726142501,23.53684333444717,0.9750103933531746,0.20391003054571566,0.13199698772383167,0.24870696937000705
30,0,healthy,cgm_static,11,252,0.4001149891682095,0.14554919136916158,0.4800163731200143,24.176941840071784,17.97504908828308,30.691168506141725,18.575238415674605,14.46533371459848,23.58001139733201,1.0294608055555554,0.20439596569484042,0.1064836267877947,0.2584006349312766
30,0,healthy,cgm_person_meal,11,252,0.3870709768330928,0.1336003132523869,0.47104205832439916,24.438893395521298,17.819375281786,31.276512430802445,18.562402828373017,14.205613606947308,23.905909134038104,1.1499616626984128,0.19577578057437495,0.09914890999256573,0.2625993713102329
30,0,healthy,cgm,11,252,0.2918750192194728,0.052934892638277255,0.360334115633287,26.266340312760562,19.65574305935813,33.756285393247204,20.067471935019842,15.741203647179804,25.741157637898038,2.386792875496032,0.1356389713181978,0.04833173321714735,0.17326932960824595
30,0,healthy,static_all,11,252,-0.12317714977168019,-1.056306957936301,0.09730015380034876,33.04308135622162,27.26399713149601,39.158237579170944,25.63181471875,21.962973390874623,29.427141493541914,2.345494265376985,-0.08736700475950143,-0.393827801100814,0.049840779879557255
30,0,healthy,persistence_5min,11,252,0.05248204726187122,-0.23467436401738354,0.20120148512127667,30.388158930323556,21.185122903896854,40.107848049398854,22.546666666666667,16.326001267488905,30.51960002178333,-16.528571428571432,0.0,0.0,0.0
30,1,prediabetes,full,16,343,0.43687355516170556,0.1996530264410254,0.5855782488629255,24.842372602391844,20.802675249480753,29.682398327057136,19.08567707835277,16.31585053317224,23.007895721629012,0.7179366905976681,0.18637615991518341,0.03289350343926055,0.2834535657689838
30,1,prediabetes,cgm_static,16,343,0.4669016952523091,0.2155360696199464,0.6156464970029024,24.170140671674798,20.07340718370757,29.046125512180748,18.496737903790088,15.545564536269673,22.72266821077405,0.09732567711370299,0.20839273351914633,0.04370451043115473,0.30668650808186204
30,1,prediabetes,cgm_person_meal,16,343,0.5055353999304444,0.2769205629946816,0.6390378070894563,23.279526292311807,19.589678662159823,27.671455063131184,17.8858683483965,15.106915483389473,21.86681085376612,-0.17029346574344006,0.237561649989802,0.08547758146030005,0.3258257984994269
30,1,prediabetes,cgm,16,343,0.4349127960578217,0.20974018744331194,0.5685660006227706,24.889562600115767,21.529467638120977,29.019338171788046,19.32486886042274,16.822415813191174,22.68013452642694,1.4385865929300294,0.1848306188440365,0.06039808178311135,0.2580952101362196
30,1,prediabetes,static_all,16,343,-0.22208355756383036,-0.6959038820381604,-0.043295241175717356,36.57211637324607,30.366883927147715,42.68112833769232,28.9634437233965,23.960325621312435,34.75765468667409,2.60347863228863,-0.1977900114405471,-0.4904507131765547,0.0070581645736628815
30,1,prediabetes,persistence_5min,16,343,0.14971978790135232,-0.19567337338444327,0.4033584602286947,30.53299495231376,25.412749623114074,36.153672853432234,23.304489795918368,19.11322757569987,28.22751142744341,-18.25749271137026,0.0,0.0,0.0
30,2,t2d,full,13,318,0.638555516948895,0.5284152277563984,0.7070603652114187,32.43084348106966,27.465630236266062,36.829794249092984,24.08408148034591,20.708737316051174,27.174280099400946,-0.5204481666666664,0.20787234195891713,0.09791530735285911,0.2804111488297674
30,2,t2d,cgm_static,13,318,0.6681816484024548,0.5626518015366384,0.7316514155301401,31.06778405519306,26.425482064282026,35.12870628514734,23.327659356525157,19.927077398866853,26.47443161769723,0.020249081367924804,0.24116524941661865,0.12718370030531495,0.3199499243387662
30,2,t2d,cgm_person_meal,13,318,0.6424212415099939,0.5270028614993496,0.7122645646278725,32.25227490856216,27.469381444502897,36.392868481733224,24.507275805424527,20.931275979205346,27.77478790602632,-0.1518781874999998,0.21223390305191414,0.10749973377032242,0.2847554891423974
30,2,t2d,cgm,13,318,0.5415091809756408,0.4198976081247455,0.6213800855045355,36.52576687017404,30.301567407139103,41.99294309880269,27.378711961084907,23.46017419939719,31.107749226174313,-0.1283539768081758,0.10785329447523695,0.02096166829811644,0.16779569881866724
30,2,t2d,static_all,13,318,0.3272875048938122,0.042717556963511684,0.48869371949422197,44.21205196263983,36.52005887258283,50.894507542030105,33.23756293671383,27.4760073659654,38.60250780681946,-0.15390343356918135,-0.07988523945728221,-0.3032924518450321,0.093782166910292
30,2,t2d,persistence_5min,13,318,0.4240132935427834,0.2529184450041539,0.5577846213258375,40.941435577783686,33.02492886502969,47.45249512101564,28.992704402515724,23.386903752427493,34.15008276643991,-19.105408805031445,0.0,0.0,0.0
60,0,healthy,full,11,252,0.2662082870567509,-0.17902436555664952,0.32569362523028517,34.00458359845872,25.062505535397744,45.65876110394878,24.969711874007935,19.51125632680853,32.81762708966603,2.6218634940476186,0.1971746456024136,0.02526286292753965,0.2619755305960014
60,0,healthy,cgm_static,11,252,0.2966690836975615,-0.16994430844892275,0.3713477196004791,33.294779645286795,24.156977532289343,44.757546367574804,24.399594750496032,18.538558473520396,32.5080088176857,1.2020169786706345,0.21393263967130405,0.03036298972989029,0.283476036441863
