horizon,increment,kind,arm,dR2,dR2_lo,dR2_hi,dRMSE_mgdl,dRMSE_lo,dRMSE_hi,dMAE_mgdl,dMAE_lo,dMAE_hi,perm_p,seed_pos_frac,holm_p,verdict
30,CGM adds beyond context,within_arm,global,0.3850125083219409,0.28216689962195285,0.5512856570014285,11.77071949162891,9.314090233324336,14.258120455912561,9.331529751369118,7.311037422968341,11.401544479162768,,,,
30,CGM adds beyond context,within_arm,subject_z,0.16124963052048427,0.11333088080394718,0.2349388690599817,4.432704758107686,3.0648256817550075,5.811302999709205,3.178043388143489,2.322567325531012,4.032542718557658,,,,
30,CGM adds beyond context,interaction,global vs subject_z,0.22376287780145662,0.14717739481032863,0.3386822760540247,7.338014733521224,5.2581029774874395,9.346641265469533,6.153486363225628,4.297656827760959,8.11256837039219,9.999000099990002e-05,1.0,,
60,CGM adds beyond context,within_arm,global,0.19665755956049316,0.14174658004932464,0.28402601228979113,7.487304863374784,5.598660243289984,9.418622279620394,5.593188248630906,3.864355620817464,7.362782549123053,,,,
60,CGM adds beyond context,within_arm,subject_z,0.0233565690119304,-0.005409052926785363,0.05512191016797486,0.8327660390783569,-0.1817057381470898,1.84327871761212,0.7829844281215994,-0.029334100428186103,1.5797689041536132,,,,
60,CGM adds beyond context,interaction,global vs subject_z,0.17330099054856277,0.11692431301379032,0.25946442893979754,6.654538824296427,4.638699519007494,8.72697029380362,4.810203820509306,3.1750769508424326,6.565825419943908,9.999000099990002e-05,1.0,0.0001999800019998,ADDS
120,CGM adds beyond context,within_arm,global,0.079647000990067,0.04146890204031826,0.13859290959105358,2.9290890829841967,1.6500739018362243,4.20529792371216,2.228158460706465,1.1433455386675897,3.350115896222621,,,,
120,CGM adds beyond context,within_arm,subject_z,0.0017272156746896163,-0.02704776667343127,0.027326527492156326,0.055892891991732085,-0.9436510952448206,0.8873770118782862,-0.017072381024104466,-0.7208612329254935,0.6165487322732177,,,,
120,CGM adds beyond context,interaction,global vs subject_z,0.07791978531537738,0.04547003888384611,0.12993175788120742,2.8731961909924646,1.8376326286781721,3.8695097388366624,2.2452308417305695,1.178334743063401,3.3394201120011906,9.999000099990002e-05,1.0,,
