protocol,model,horizon,R2,R2_sd,RMSE,RMSE_sd,level_preserved,leakage,label
global,cgm,30,0.556051852642708,0.007398607092242224,29.798065902487995,0.2488325554737989,True,False,Fold-wise global (corrected)
global,cgm,60,0.3653016214565865,0.024708438155063787,45.03105345229251,0.871144881945907,True,False,Fold-wise global (corrected)
global,cgm,120,0.22618595085984683,0.01786626218389477,49.32334737790938,0.5694487229393601,True,False,Fold-wise global (corrected)
global,cgm_static,30,0.6413884993485847,0.010598748283972717,26.779660373068758,0.3993222471174346,True,False,Fold-wise global (corrected)
global,cgm_static,60,0.549339866586271,0.04320288437012567,37.91517373923848,1.7643049516537828,True,False,Fold-wise global (corrected)
global,cgm_static,120,0.458604769575116,0.028850416401301617,41.246254308629005,1.0883864758244828,True,False,Fold-wise global (corrected)
global,persistence_5min,30,0.40558358115421644,0.0,34.48105934032634,0.0,True,False,Fold-wise global (corrected)
global,persistence_5min,60,-0.02359610066515641,7.850462293418876e-17,57.19575805164105,0.0,True,False,Fold-wise global (corrected)
global,persistence_5min,120,-0.08382131977725482,0.0,58.37654757231034,4.651594101602378e-15,True,False,Fold-wise global (corrected)
global,static_all,30,0.25637599102664366,0.04614730517069994,38.55037986469766,1.1974315187568456,True,False,Fold-wise global (corrected)
global,static_all,60,0.35268230702577785,0.08450556871718767,45.40247860261327,2.909168256335412,True,False,Fold-wise global (corrected)
global,static_all,120,0.37895776858504904,0.033984609567275996,44.17534339161321,1.2001477582325757,True,False,Fold-wise global (corrected)
premeal_center,cgm,30,-0.09934794664100122,0.030370914578014337,46.88851440464332,0.6482406561227517,False,False,Causal pre-meal centering
premeal_center,cgm,60,-0.11236788114589008,0.032167003506982976,59.61894148148967,0.8593030405215626,False,False,Causal pre-meal centering
premeal_center,cgm,120,-0.10609136445749859,0.029829630506755977,58.96854833573157,0.7960853433308159,False,False,Causal pre-meal centering
premeal_center,cgm_static,30,0.2597612774425246,0.04628743742142208,38.46221856831288,1.2061460108731545,False,False,Causal pre-meal centering
premeal_center,cgm_static,60,0.3515786056620621,0.07304379588489339,45.462249926136536,2.5075005095178438,False,False,Causal pre-meal centering
premeal_center,cgm_static,120,0.38802546820284656,0.02874699447213014,43.85536846215779,1.0235410367491162,False,False,Causal pre-meal centering
premeal_center,persistence_5min,30,0.40558358115421644,0.0,34.48105934032634,0.0,False,False,Causal pre-meal centering
premeal_center,persistence_5min,60,-0.02359610066515641,7.850462293418876e-17,57.19575805164105,0.0,False,False,Causal pre-meal centering
premeal_center,persistence_5min,120,-0.08382131977725482,0.0,58.37654757231034,4.651594101602378e-15,False,False,Causal pre-meal centering
premeal_center,static_all,30,0.25637599102664366,0.04614730517069994,38.55037986469766,1.1974315187568456,False,False,Causal pre-meal centering
premeal_center,static_all,60,0.35268230702577785,0.08450556871718767,45.40247860261327,2.909168256335412,False,False,Causal pre-meal centering
premeal_center,static_all,120,0.37895776858504904,0.033984609567275996,44.17534339161321,1.2001477582325757,False,False,Causal pre-meal centering
subject_center,cgm,30,0.011441064965420356,0.03844017514342027,44.45956967698223,0.8608939653243343,False,True,Per-subject centering only
subject_center,cgm,60,-0.06770175150199972,0.03947608336115703,58.40635786322704,1.0750383357489173,False,True,Per-subject centering only
subject_center,cgm,120,-0.025057661700073897,0.02790173395737197,56.7673788040568,0.7690470282489645,False,True,Per-subject centering only
subject_center,cgm_static,30,0.3835423735384926,0.04276013731895169,35.096280415964785,1.2099922534131624,False,True,Per-subject centering only
subject_center,cgm_static,60,0.3725225871413492,0.07767386694479884,44.709259726283676,2.71800496700833,False,True,Per-subject centering only
subject_center,cgm_static,120,0.3748219357608587,0.027049158720782812,44.32753898040443,0.9530197999411946,False,True,Per-subject centering only
subject_center,persistence_5min,30,0.40558358115421644,0.0,34.48105934032634,0.0,False,True,Per-subject centering only
subject_center,persistence_5min,60,-0.02359610066515641,7.850462293418876e-17,57.19575805164105,0.0,False,True,Per-subject centering only
subject_center,persistence_5min,120,-0.08382131977725482,0.0,58.37654757231034,4.651594101602378e-15,False,True,Per-subject centering only
subject_center,static_all,30,0.25637599102664366,0.04614730517069994,38.55037986469766,1.1974315187568456,False,True,Per-subject centering only
subject_center,static_all,60,0.35268230702577785,0.08450556871718767,45.40247860261327,2.909168256335412,False,True,Per-subject centering only
subject_center,static_all,120,0.37895776858504904,0.033984609567275996,44.17534339161321,1.2001477582325757,False,True,Per-subject centering only
subject_scale,cgm,30,0.4852216457910189,0.009520697304746344,32.086998613375314,0.29669419851687645,True,True,Per-subject scaling only
subject_scale,cgm,60,0.3507127187904618,0.023143596373490397,45.54677547478478,0.8115953892189312,True,True,Per-subject scaling only
subject_scale,cgm,120,0.2484590832072683,0.01926989262990176,48.60762326920548,0.6257949034901342,True,True,Per-subject scaling only
subject_scale,cgm_static,30,0.600218477200118,0.012390566105007163,28.27491894887875,0.4360861949539158,True,True,Per-subject scaling only
subject_scale,cgm_static,60,0.5282593074797608,0.051716238361409636,38.780753025954446,2.058996729728805,True,True,Per-subject scaling only
subject_scale,cgm_static,120,0.43958014546314883,0.03264185337549836,41.96222491014383,1.2095545423381848,True,True,Per-subject scaling only
subject_scale,persistence_5min,30,0.40558358115421644,0.0,34.48105934032634,0.0,True,True,Per-subject scaling only
subject_scale,persistence_5min,60,-0.02359610066515641,7.850462293418876e-17,57.19575805164105,0.0,True,True,Per-subject scaling only
subject_scale,persistence_5min,120,-0.08382131977725482,0.0,58.37654757231034,4.651594101602378e-15,True,True,Per-subject scaling only
subject_scale,static_all,30,0.25637599102664366,0.04614730517069994,38.55037986469766,1.1974315187568456,True,True,Per-subject scaling only
subject_scale,static_all,60,0.35268230702577785,0.08450556871718767,45.40247860261327,2.909168256335412,True,True,Per-subject scaling only
subject_scale,static_all,120,0.37895776858504904,0.033984609567275996,44.17534339161321,1.2001477582325757,True,True,Per-subject scaling only
subject_z,cgm,30,0.11585384259902924,0.023784035384173393,42.04971747290743,0.5637698455127028,False,True,Per-subject z-score (as published)
subject_z,cgm,60,0.05003325888336664,0.03276254940193578,55.0931623437194,0.9459505790410385,False,True,Per-subject z-score (as published)
subject_z,cgm,120,-0.03679987044651281,0.02261419726634398,57.09323669398063,0.6194363972484286,False,True,Per-subject z-score (as published)
subject_z,cgm_static,30,0.4176256215471279,0.03348004647319051,34.117675106589985,0.9805985642841429,False,True,Per-subject z-score (as published)
subject_z,cgm_static,60,0.37603887603770836,0.08513535167714635,44.56971256353491,2.9635645914544333,False,True,Per-subject z-score (as published)
subject_z,cgm_static,120,0.3806849842597386,0.026422558444841454,44.119450499621486,0.934750149935259,False,True,Per-subject z-score (as published)
subject_z,persistence_5min,30,0.40558358115421644,0.0,34.48105934032634,0.0,False,True,Per-subject z-score (as published)
subject_z,persistence_5min,60,-0.02359610066515641,7.850462293418876e-17,57.19575805164105,0.0,False,True,Per-subject z-score (as published)
subject_z,persistence_5min,120,-0.08382131977725482,0.0,58.37654757231034,4.651594101602378e-15,False,True,Per-subject z-score (as published)
subject_z,static_all,30,0.25637599102664366,0.04614730517069994,38.55037986469766,1.1974315187568456,False,True,Per-subject z-score (as published)
subject_z,static_all,60,0.35268230702577785,0.08450556871718767,45.40247860261327,2.909168256335412,False,True,Per-subject z-score (as published)
subject_z,static_all,120,0.37895776858504904,0.033984609567275996,44.17534339161321,1.2001477582325757,False,True,Per-subject z-score (as published)
