method,NRMSE_30_mean,NRMSE_60_mean,NRMSE_120_mean,R2_30_mean,R2_60_mean,R2_120_mean,MARD_30_mean,MARD_60_mean,MARD_120_mean,NRMSE_30_std,NRMSE_60_std,NRMSE_120_std,R2_30_std,R2_60_std,R2_120_std,MARD_30_std,MARD_60_std,MARD_120_std
Random Forest,0.07716077417135239,0.10694921761751175,0.12059659063816071,0.551017165184021,0.4591584444046021,0.31218844652175903,14.549409675598145,19.575755310058593,19.93380355834961,0.011379101841718794,0.010255368304037655,0.013774816356577875,0.156644209100724,0.18338151086557677,0.22505817422143534,2.4924745163774804,3.259755477031333,1.2200466625754738
Ridge,0.07575894445180893,0.11721092313528061,0.1292895719408989,0.5481046795845032,0.3254024744033813,0.1722889542579651,14.379636764526367,20.82526550292969,22.115138244628906,0.009552119576086001,0.01165901283105896,0.008413318307330655,0.22140704459657412,0.3176136378541458,0.3825071702359202,2.2214635422764784,3.5017265711659316,1.628606368808669
SVR,0.08509052246809005,0.12275240421295167,0.13442920744419098,0.47848078012466433,0.32109956741333007,0.18940144777297974,14.828649520874023,20.69279899597168,20.089453125,0.019263568106141694,0.021266307079998666,0.024907548493464927,0.11748173485136063,0.12771124240521706,0.14034152109247847,2.370475141541431,3.0960408551757514,1.6678524955332825
Dummy (mean),0.12304655015468598,0.15823828130960466,0.1591602683067322,-0.08177177906036377,-0.12446248531341553,-0.12871906757354737,24.62041664123535,28.803300857543945,27.849020385742186,0.024587350758717517,0.028695124883655422,0.033941095268221845,0.1204483086260626,0.21540662239863284,0.2303102432282888,2.6282551375843455,6.7913996084659916,4.48718827966884
