family,increment,with,without,seed_pos_frac,dR2_60,R2_lo,R2_hi,dRMSE_60,RMSE_lo,RMSE_hi,perm_p,holm_p,verdict
primary,CGM adds beyond ALL static,cgm_static,static_all,1.0,0.19665755956049316,0.14174658004932464,0.28402601228979113,-7.487304863374789,-9.41862227962038,-5.598660243289972,9.999000099990002e-05,0.00039996000399960006,ADDS
primary,static adds beyond CGM,cgm_static,cgm,1.0,0.18403824512968453,0.13564065920216475,0.24020875655518398,-7.115879713054027,-9.755409713266046,-4.704560100669478,9.999000099990002e-05,0.00039996000399960006,ADDS
primary,activity/HR adds beyond CGM+static,full,cgm_static,0.0,-0.027961271443821878,-0.04454388239308699,-0.014652449725567254,1.1605668194392962,0.5870286483633471,1.697781680594289,0.0007999200079992001,0.0007999200079992001,HURTS(small)
primary,meal content adds beyond person+CGM,cgm_person_meal,cgm_person,1.0,0.1814444852895439,0.11260084181991196,0.255345961717163,-6.8594812108849865,-10.448496818212686,-3.669559214774673,0.00019998000199980003,0.00039996000399960006,ADDS
secondary,person adds beyond CGM (who-you-are),cgm_person,cgm,0.25,-0.019491282819286634,-0.11059207656700908,0.06562986856140714,0.6745705231606163,-2.029659150724442,3.9655694487371407,0.7436256374362564,0.7436256374362564,INCONCLUSIVE
secondary,time/context adds beyond CGM+person+meal,cgm_static,cgm_person_meal,1.0,0.022085042659427272,0.0013506775179142603,0.04794910026990372,-0.9309690253296568,-1.9298755417851652,-0.0571545250997735,0.068993100689931,0.34496550344965504,INCONCLUSIVE
secondary,person adds beyond meal+CGM,cgm_person_meal,cgm_meal,0.875,0.034759981742799276,-0.006084525356705454,0.08044315668309482,-1.4223157106962159,-2.9709180877754315,0.23159801998161014,0.0993900609939006,0.3975602439756024,INCONCLUSIVE
secondary,activity adds beyond CGM alone,cgm_dyn,cgm,0.0,-0.04139544059206191,-0.10139037298313307,0.02544733742248971,1.4489853213815262,-0.7788394386098674,3.723094338322897,0.25307469253074694,0.5168483151684832,INCONCLUSIVE
secondary,CGM model beats 5-min persistence floor,cgm,persistence_5min,1.0,0.38889772212174306,0.2427874289538658,0.5494451652039666,-12.164704599348543,-16.3920709572115,-7.146602156976908,0.0004999500049995,0.0029997000299970002,ADDS
secondary,CGM+static beats persistence floor,cgm_static,persistence_5min,1.0,0.5729359672514276,0.42161118068366304,0.7459382931405533,-19.28058431240257,-25.119467425921062,-13.160635239127915,9.999000099990002e-05,0.0007999200079992001,ADDS
secondary,full beats persistence floor,full,persistence_5min,1.0,0.5449746958076058,0.3943287243154106,0.71213542637596,-18.120017492963274,-23.773911720209057,-12.150277121882045,9.999000099990002e-05,0.0007999200079992001,ADDS
secondary,1-min vs 5-min baseline resolution,persistence_1min,persistence_5min,0.0,-0.002640300899891769,-0.006771630785754567,0.0009086738123431304,0.07371889849694924,-0.0242669786360846,0.17854690033072862,0.17228277172282772,0.5168483151684832,NEGLIGIBLE
