model,variant,R2_60,dR2_60_vs_full,lo,hi
cnn__concat,full,0.5138150330433154,0.0,0.0,0.0
cnn__concat,drop_last_10,0.5120351532517119,-0.001779879791603667,-0.003389688489949949,-0.0008403422892058691
cnn__concat,keep_last_10,0.5241605608138413,0.010345527770525767,0.002194227180453023,0.021034381479174687
cnn__concat,keep_last_20,0.5210928197296394,0.007277786686323785,0.0019455716494777907,0.014748590668795815
cnn__concat,keep_last_30,0.5174189698471972,0.0036039368038815367,0.00041852552141699297,0.007886954870740875
cnn__concat,keep_last_5,0.5294936183470007,0.01567858530368501,0.005219362847318513,0.030969248786160617
cnn__concat+attnpool,full,0.5082068563468124,0.0,0.0,0.0
cnn__concat+attnpool,drop_last_10,0.5055263425889917,-0.002680513757820762,-0.005492633650652979,-0.0009175810914292716
cnn__concat+attnpool,keep_last_10,0.5174219672969248,0.009215110950112265,0.001894150632231754,0.018155735422339603
cnn__concat+attnpool,keep_last_20,0.5143291791772764,0.0061223228304639376,0.0009510079343768251,0.013023028830761648
cnn__concat+attnpool,keep_last_30,0.5121624730403241,0.003955616693511696,-0.0007566232642328775,0.01089284466843652
cnn__concat+attnpool,keep_last_5,0.5226549108123276,0.014448054465515175,0.005393567531550561,0.026854835521070253
cnn_gru__coattn,full,0.5208549943568511,0.0,0.0,0.0
cnn_gru__coattn,drop_last_10,0.5187647656585389,-0.0020902286983120865,-0.004206043474065446,-0.0008458549492862008
cnn_gru__coattn,keep_last_10,0.52784693815346,0.006991943796608872,-0.0017413744944401969,0.016599140584567938
cnn_gru__coattn,keep_last_20,0.5247845332873883,0.003929538930537255,-0.0017297197404310485,0.010696283150498061
cnn_gru__coattn,keep_last_30,0.5224397707767147,0.0015847764198634819,-0.002268927279515234,0.005932675948806417
cnn_gru__coattn,keep_last_5,0.533369456087366,0.012514461730514933,0.0014874503489761555,0.027421629819887296
cnn_gru__coattn_ctl,full,0.5154210166079258,0.0,0.0,0.0
cnn_gru__coattn_ctl,drop_last_10,0.5137222913447133,-0.0016987252632125996,-0.0033793952641371725,-0.0006798330904011653
cnn_gru__coattn_ctl,keep_last_10,0.5237157624128506,0.008294745804924872,-0.0007720973548430324,0.019117137347631513
cnn_gru__coattn_ctl,keep_last_20,0.5207983996089146,0.005377383000988769,-0.0007883300160817636,0.01362379103082694
cnn_gru__coattn_ctl,keep_last_30,0.5182774210302611,0.002856404422335151,-0.00046289588574157525,0.007157034544692089
cnn_gru__coattn_ctl,keep_last_5,0.5287490494999997,0.013328032892073951,0.0021974470894744846,0.0288277587279627
cnn_gru__concat,full,0.5107053799344891,0.0,0.0,0.0
cnn_gru__concat,drop_last_10,0.5092818312150661,-0.0014235487194227945,-0.002646634272846916,-0.0007042571003999227
cnn_gru__concat,keep_last_10,0.5205749058120231,0.009869525877534195,0.002128541362333655,0.019690445768627652
cnn_gru__concat,keep_last_20,0.5180067250434632,0.007301345108974227,0.002051278958937093,0.014794461812591423
cnn_gru__concat,keep_last_30,0.5143591722657621,0.003653792331273148,0.0005218463173699482,0.007789005382442381
cnn_gru__concat,keep_last_5,0.5254267738623198,0.014721393927830837,0.004823849694769246,0.028942614581560555
cnn_gru__concat+attnpool,full,0.5217029209751257,0.0,0.0,0.0
cnn_gru__concat+attnpool,drop_last_10,0.5194496951247605,-0.0022532258503652797,-0.005184358683824631,-0.0003272213867608931
cnn_gru__concat+attnpool,keep_last_10,0.5310297859613187,0.009326864986192906,0.00161244209258121,0.018350538740575725
cnn_gru__concat+attnpool,keep_last_20,0.5286587447311518,0.00695582375602607,0.001953258179674228,0.01365654183950243
cnn_gru__concat+attnpool,keep_last_30,0.5261095557243449,0.004406634749219116,-0.00021568830360805256,0.010879565412836032
cnn_gru__concat+attnpool,keep_last_5,0.5365253877231467,0.014822466748020811,0.005790662892173129,0.02687109538007483
cnn_gru__xattn,full,0.5106079413722029,0.0,0.0,0.0
cnn_gru__xattn,drop_last_10,0.5087796891696869,-0.0018282522025162768,-0.0036398873062593548,-0.000721031586510297
cnn_gru__xattn,keep_last_10,0.5198525369245364,0.00924459555233331,0.00027919087772646444,0.01995618854855867
cnn_gru__xattn,keep_last_20,0.516828316343857,0.006220374971654,0.00012677268146915155,0.014599709460318475
cnn_gru__xattn,keep_last_30,0.5145134696311772,0.0039055282589741994,0.00048545256750424963,0.008685266294658456
cnn_gru__xattn,keep_last_5,0.5254079502610567,0.014800008888853657,0.003593770672828382,0.030437022273600088
cnn_sa__coattn,full,0.5471191345259174,0.0,0.0,0.0
cnn_sa__coattn,drop_last_10,0.5377057439945242,-0.009413390531393138,-0.020235993252859935,-0.0026029608376482503
cnn_sa__coattn,keep_last_10,0.545474660965126,-0.0016444735607914717,-0.007639821969413003,0.003256369297402353
cnn_sa__coattn,keep_last_20,0.5458137345884938,-0.0013053999374236518,-0.004840233234778072,0.0016138281432599927
cnn_sa__coattn,keep_last_30,0.5470850380635767,-3.4096462340720484e-05,-0.0022235991608817694,0.0020135595008519695
cnn_sa__coattn,keep_last_5,0.5469435602522295,-0.00017557427368799182,-0.006154674314626287,0.005136742450958926
cnn_sa__concat,full,0.5276516969170612,0.0,0.0,0.0
cnn_sa__concat,drop_last_10,0.5197830648742735,-0.007868632042787706,-0.018007541858060985,-0.0015509845691625516
cnn_sa__concat,keep_last_10,0.5283782917596366,0.0007265948425753522,-0.004538148770690558,0.005300221737758739
cnn_sa__concat,keep_last_20,0.5279364706957504,0.00028477377868921206,-0.00280458025574371,0.002987807129790126
cnn_sa__concat,keep_last_30,0.5283822417324472,0.0007305448153859963,-0.001179644884740626,0.002651160394770989
cnn_sa__concat,keep_last_5,0.5298922627156093,0.0022405657985482743,-0.0031066712065195437,0.007433265461903508
dl_current_highres,full,0.5216619593303035,0.0,0.0,0.0
dl_current_highres,drop_last_10,0.5116567610154549,-0.010005198314848581,-0.022508085863683875,-0.001976917045744911
dl_current_highres,keep_last_10,0.5215521059044191,-0.00010985342588414416,-0.0074005126728932755,0.006635733450955168
dl_current_highres,keep_last_20,0.5220785609384221,0.00041660160811872384,-0.0041863249568481345,0.004699504118471463
dl_current_highres,keep_last_30,0.5229698630483467,0.0013079037180434192,-0.002168474646856548,0.005592484538496781
dl_current_highres,keep_last_5,0.5219027199819064,0.00024076065160300557,-0.0077660468717575615,0.00782682296555844
sa__concat,full,0.5373960954480287,0.0,0.0,0.0
sa__concat,drop_last_10,0.5274406225436664,-0.009955472904362108,-0.022186871040502133,-0.0024957545717874344
sa__concat,keep_last_10,0.5382135495564817,0.0008174541084530596,-0.006154139604396596,0.007527914142682648
sa__concat,keep_last_20,0.5383880197564408,0.0009919243084120953,-0.0029878406390725287,0.005297719502826875
sa__concat,keep_last_30,0.539423501550544,0.0020274061025152756,-0.0009252467569210381,0.005773104596914679
sa__concat,keep_last_5,0.5395300084168713,0.0021339129688424763,-0.004985594888193491,0.009171103884438507
