model,T,encoder_state_span,state_receptive_field_min,mass_last_10,mass_last_10_lo,mass_last_10_hi,mass_last_20,mass_last_20_lo,mass_last_20_hi,uniform_last_10,peak_t,max_over_uniform,entropy_ratio_vs_uniform,entropy_ratio_lo,entropy_ratio_hi
cnn__concat+attnpool,60,local,7.0,0.2144230685430666,0.19960977947845882,0.23068803761127718,0.3807786665447982,0.3672854847780366,0.3950716108920724,0.16666666666666666,59,2.43270241417957,0.9955032803700836,0.9915416133042393,0.9980193715112048
cnn_gru__concat+attnpool,60,cumulative,,0.2083448032743253,0.1962060656877847,0.22214822786888652,0.3825364612067257,0.3712233768812473,0.3950205105991861,0.16666666666666666,59,2.0741535072720256,0.9967045423353764,0.9938949738930418,0.9981743008142794
